Story_id,Tag_id
1,1
1,2
2,2
4,2
34,2
37,2
39,2
42,2
1,3
2,3
4,3
3,4
3,5
35,5
39,5
43,5
44,5
46,5
56,5
3,6
4,7
3,8
5,8
5,9
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
28,10
30,10
31,10
32,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
58,10
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
28,11
28,12
6,14
7,14
8,14
9,14
10,14
11,14
12,14
13,14
14,14
15,14
16,14
17,14
18,14
19,14
20,14
21,14
28,14
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
24,16
25,16
26,16
27,17
27,18
46,19
34,20
44,21
50,21
51,21
52,21
35,22
48,23
42,24
6,25
8,25
9,25
44,25
56,26
29,27
29,28
36,29
43,29
36,30
47,31
41,32
34,33
42,34
29,35
33,35
45,36
31,37
40,37
43,38
43,39
32,40
56,40
49,41
48,42
40,43
55,44
36,46
37,46
39,46
41,46
35,47
56,48
32,49
38,49
33,50
58,50
55,51
30,52
33,52
38,52
44,52
47,52
48,52
55,52
53,53
58,54
33,56
31,57
35,57
46,57
40,58
42,60
44,61
58,61
29,62
42,63
47,64
44,66
36,67
43,68
44,69
61,70
62,70
63,70
64,70
65,70
66,70
67,70
68,70
69,70
70,70
71,70
72,70
73,70
74,70
75,70
76,70
77,70
78,70
79,70
80,70
81,70
82,70
83,70
84,70
85,70
86,70
87,70
88,70
89,70
90,70
91,70
92,70
93,70
94,70
95,70
96,70
97,70
98,70
99,70
100,70
101,70
102,70
103,70
104,70
105,70
106,70
107,70
108,70
109,70
110,70
111,70
112,70
113,70
114,70
115,70
116,70
117,70
118,70
119,70
120,70
121,70
122,70
123,70
124,70
125,70
126,70
127,70
128,70
129,70
130,70
131,70
132,70
133,70
134,70
135,70
136,70
137,70
138,70
139,70
140,70
141,70
142,70
143,70
144,70
145,70
146,70
147,70
148,70
149,70
150,70
151,70
152,70
153,70
154,70
155,70
156,70
157,70
158,70
159,70
160,70
161,70
162,70
163,70
164,70
165,70
166,70
167,70
168,70
169,70
170,70
171,70
172,70
173,70
61,71
62,71
63,71
64,71
65,71
66,71
67,71
68,71
69,71
70,71
71,71
72,71
73,71
74,71
75,71
76,71
77,71
78,71
79,71
80,71
81,71
82,71
83,71
84,71
85,71
86,71
87,71
88,71
89,71
90,71
91,71
92,71
93,71
94,71
95,71
96,71
97,71
98,71
99,71
100,71
101,71
102,71
103,71
104,71
105,71
106,71
107,71
108,71
109,71
110,71
111,71
112,71
113,71
114,71
115,71
116,71
117,71
118,71
119,71
120,71
121,71
122,71
123,71
124,71
125,71
126,71
127,71
128,71
129,71
130,71
131,71
132,71
133,71
134,71
135,71
136,71
137,71
138,71
139,71
140,71
141,71
142,71
143,71
144,71
145,71
146,71
147,71
148,71
149,71
150,71
151,71
152,71
153,71
154,71
155,71
156,71
157,71
158,71
159,71
160,71
161,71
162,71
163,71
164,71
165,71
166,71
167,71
168,71
169,71
170,71
171,71
172,71
173,71
190,1
190,29
190,34
190,22
191,1
191,29
191,34
191,22
192,1
192,29
192,34
192,22
193,1
193,29
193,34
193,22
194,1
194,29
194,34
194,22
195,48
190,72
191,72
192,72
193,72
194,72
195,72
196,72
197,72
198,5
199,5
200,5
201,5
202,73
203,73
204,73
205,73
198,73
199,73
200,73
201,73
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
207,74
208,74
209,74
210,74
211,74
212,74
213,74
214,74
215,74
216,74
217,74
218,74
219,74
220,74
221,74
207,75
208,75
209,75
210,75
211,75
212,75
213,75
214,75
215,75
216,75
217,75
218,75
219,75
220,75
221,75
193,75
222,10
222,40
222,76
222,64
223,10
223,77
223,78
223,79
223,5
223,68
225,10
225,76
225,61
225,80
225,77
226,73
226,2
226,66
226,71
227,10
227,49
227,46
228,52
228,81
229,81
229,52
229,22
229,82
230,83
230,84
231,10
231,73
232,10
232,76
232,5
232,49
232,85
233,2
233,27
233,86
233,82
233,66
234,10
234,26
234,39
235,10
235,26
235,2
236,88
236,10
236,40
237,10
237,77
237,78
237,89
237,90
237,5
